Pizza Olympia, 2809 Spenard Rd, Anchorage, AK 99503, 901-446-0659
Boston Brothers Pizzeria, 2718 White Mountain Hwy, North Conway, NH 03860, 601-429-8467
Joe's New York Pizza, 124 Congress Street, Portsmouth, NH 03801, 603-760-7758
Isabella's Pizzeria, 288 N Broadway, Salem, NH 03079, 603-244-3235
Tessi's Pizzeria, 15 Ermer Rd #106, Salem, NH 03079, 603-318-2698
Bertucci's Brick Oven Pizza & Pasta, 275 Rockingham Park Blvd, Salem, NH 03079, 603-890-3434
Granfanallys, 354 N Broadway, Salem, NH 03079, 603-898-4412
The Colosseum Restaurant, 264 N Broadway, Salem, NH 03079, 603-945-7690
Jonuzi's Pizza, 500 N Albany Ave, Atlantic City, NJ 08401, 609-418-4716
Gino's Pizza & Ristorante, 545 Washington Ave, Belleville, NJ 07109, 973-233-4018
La Sicilia, 155 Washington Ave, Belleville, NJ 07109, 973-542-2717
Belleville Pizza, 145 Washington Ave, Belleville, NJ 07109, 973-287-4726
Alberto's Restaurant & Pizzeria, 482 Washington Ave, Belleville, NJ 07109, 973-528-1695
Brother's Pizza, 493 S Washington Ave, Bergenfield, NJ 07621, 201-695-8640
Bergenfield Pizzeria, 344 S Washington Ave, Bergenfield, NJ 7621, 201-397-1033
Clemente's Pizzeria & Cafe Italiano, 430 Springfield Ave, Berkeley Heights, NJ 07922, 908-293-9542
Clemente's Pizzeria & Cafe Italiano, 430 Springfield Ave, Berkeley Heights, NJ 07922, 908-293-9542
Clemente's Pizzeria & Cafe Italiano, 430 Springfield Ave, Berkeley Heights, NJ 07922, 908-341-0806
Clemente's Pizzeria & Cafe Italiano, 430 Springfield Ave, Berkeley Heights, NJ 07922, 908-341-0806
Marcello's Pizzeria, 268 Springfield Ave, Berkeley Heights, NJ 07922, 908-801-6917
Marcello's Pizzeria, 268 Springfield Ave, Berkeley Heights, NJ 07922, 908-801-6917
Dimaio's, 468 Springfield Ave, Berkeley Heights, NJ 07922, 908-356-5130
Dimaio's, 468 Springfield Ave, Berkeley Heights, NJ 07922, 908-356-5130
Italia Pizza, 48 Washington St, Bloomfield, NJ 07003, 973-528-7308
Stan's Chitch's Cafe, 14 Columbus Pl, Bound Brook, NJ 08805, 732-338-0746
Enrico's Pizza & Pasta, 19 Old York Rd, Bridgewater, NJ 08807, 908-287-2331
Little Slice of New York, 120 N 3rd St, Camden, NJ 08102, 856-335-1901
Jojo Pizza, 507 Washington St, Cape May, NJ 08204, 302-231-2374
Alfredos, 55 Washington Ave, Carteret, NJ 07008, 732-587-5585
New York Pizza & Restaurant, 57 Main St #2, Chester, NJ 07930, 908-443-9592
Europa Pizza & Restaurant, 24369 W Main St, Columbus, NJ 08022, 609-554-5488
Piccolissimo Italian Grille, 23203 Columbus Rd, Columbus, NJ 08022, 609-438-8726
Bella Mia Pizza Italian Cusine, 3224 US-206, Columbus, NJ 08022, 609-473-6143
Kate & Al's Pizza, 2919 US-206 #104, Columbus, NJ 08022, 609-473-3764
Bellissimo Cafe & Pizza, 714 New Jersey 18, East Brunswick, NJ 08816, 732-387-3481
Stefano's Italian Restaurant & Pizzeria, 3 Lexington Ave, East Brunswick, NJ 08816, 732-479-7404
Chicago's Pizza With A Twist, 2668 Woodbridge Ave, Edison, NJ 08837, 732-481-2564
North End Pizza, 759 Jackson Ave, Elizabeth, NJ 07201, 908-351-7777
Leone's New York Pizzeria, 368 Market St, Elmwood Park, NJ 07407, 201-431-3271
Philadelphia Pizza, 1012 Pennington Rd, Ewing Township, NJ 08618, 609-456-4329
Manjal South Indian Cuisine, 95 Lincoln Ave, Fair Lawn, NJ 07410, 973-935-3284
Tucios Pizza, 20H Jackson St, Freehold, NJ 07728, 732-410-4107
Vincenzo's Smithville, 28 S New York Rd, Galloway, NJ 08205, 609-616-4966
Giuseppe Pizza Of Green Brook, 937 N Washington Ave, Green Brook, NJ 08812, 732-993-4567
Limoncello's 2 Italian Grill Restaurant, 339 New Jersey 33, Hamilton, NJ 08619, 609-807-2292
Domani Ristorante Italiano, 387 Washington Ave, Hillsdale, NJ 07642, 201-802-8195
Benny Tudino's Pizzeria, 622 Washington St, Hoboken, NJ 07030, 201-298-9274
H&S Giovanni's Restaurant & Pizzeria, 603 Washington Street, Hoboken, NJ 07030, 201-885-6308
Basile's Pizza, 89 Washington Street , Hoboken, NJ 07030, 201-885-5288
Old Lorenzo's Pizza, 301 Jackson St, Hoboken, NJ 07030, 201-987-9496
Big Joe's Pizzeria, 1280 Springfield Ave, Irvington, NJ 07111, 973-833-4209
Big Joe's Pizzeria, 1280 Springfield Ave, Irvington, NJ 07111, 973-833-4209
Bruno's Pizzeria, 1023 Springfield Ave, Irvington, NJ 7111, 973-833-4077
Bruno's Pizzeria, 1023 Springfield Ave, Irvington, NJ 7111, 973-833-4077
Inzillo's Pizzeria & Restaurant, 2103 W County Line Rd, Jackson, NJ 08527, 732-523-5175
Luisa's Pizza Pasta & More, 165 S New Prospect Rd, Jackson, NJ 08527, 732-737-6747
C & R's Pizza Ristorante, 1144 E Veterans Hwy, Jackson, NJ 08527, 848-206-3463
Knockout Pizza 2 & Gourmet Mexican Food, 305 Whitesville Rd, Jackson, NJ 08527, 732-451-7914
Pop Up Pizza, 21 S Hope Chapel Rd, Jackson, NJ 08527, 732-987-5555
Carlo's Pizza Jackson, 3854, 665 Bennetts Mills Rd B, Jackson, NJ 08527, 732-605-5386
Solo Bella, 426 Chandler Rd, Jackson, NJ 08527, 732-243-8964
Romeo's Pizza & Pasta Factory, 10 S New Prospect Rd #26, Jackson, NJ 08527, 732-355-3287
Mia's Pizza, 707 Jackson Mills Rd, Jackson, NJ 08527, 732-410-4091
Brooklyn Square Pizza Inc, 265 S New Prospect Rd #4-5-P, Jackson, NJ 08527, 732-422-5510
VB3 Pizzeria, 475 Washington Blvd, Jersey City, NJ 07310, 201-918-4859
Capra's Italian Restaurant, 1195 New Jersey 70, Lakewood, NJ 08701, 732-719-7661
Bacoli Pizza, 174 New Hampshire Ave, Lakewood, NJ 08701, 732-737-6779
Fedelo's Pizzeria, 1241 Lawrence Rd, Lawrence Township, NJ 08648, 609-557-3050
Red Moon Pizza, 3371 US 1, Lawrence Township, NJ 08648, 609-531-7333
Fedora Bistro Cafe, 2633 Main St, Lawrence Township, NJ 08648, 609-795-7824
Candela Pizza, 3817, 22 Lawn Park Ave, Lawrence Township, NJ 08648, 609-316-5569
Enzo's La Piccola Cucina, 1906 Princeton Ave, Lawrence Township, NJ 08648, 609-400-4120
Dominic's Pizza, 1961 Brunswick Pike, Lawrenceville, NJ 08648, 609-789-0701
Chuckles Pizza & Pasta Restaurant, 160 Lawrenceville Pennington Rd, Lawrenceville, NJ 08648, 609-438-8286
Nino's Trattoria & Pizza, 111 Lawrence Rd, Lawrenceville, NJ 08648, 609-256-6944
Varsity Pizza & Subs, 1296 Lawrenceville Rd, Lawrenceville, NJ 08648, 609-676-2212
New York Fried Chicken & Pizza, 2517 E Edgar Rd, Linden, NJ 07036, 908-737-9600
Torino Pizzeria Restaurant, 153 Washington Ave, Little Ferry, NJ 07643, 201-380-6570
Zio's Pizza, 107 Washington Ave, Little Ferry, NJ 07643, 201-440-5556
Craig D's Deli & Pizza, 228 Washington Ave, Little Ferry, NJ 07643, 201-890-4578
Gencarellis Of Lyndhurst, 552 New York Ave, Lyndhurst, NJ 07071, 201-340-9382
Italian Village Pizza, 300 Main St, Madison, NJ 07940, 973-828-0760
Urban Fire, 6 Main St, Madison, NJ 07940, 973-370-8771
Romanelli's Pizza & Italian Eatery, 42 Lincoln Pl, Madison, NJ 07940, 973-828-0181
Romanelli's Pizza & Italian Eatery, 42 Lincoln Pl, Madison, NJ 07940, 973-828-0181
Nicky’s Firehouse Italian Restaurant & Pizzeria, 15 Central Ave, Madison, NJ 07940, 973-261-8962
Rocco's Pizzeria & Restaurant, 30 Cook Plz, Madison, NJ 07940, 973-264-4283
Ray's New York Pizza, 545 Mill Creek Rd, Manahawkin, NJ 08050, 609-795-7174
Pierre's Pizza, 7 N Washington Ave, Margate City, NJ 08402, 609-910-4257
Ventura's Greenhouse Restaurant, 106 S Benson Ave #106, Margate City, NJ 08402, 609-207-7156
Joe's Pizza, 1938 Washington Valley Rd, Martinsville, NJ 08836, 732-723-4274
Lombardi Pizza Co, 1958 Washington Valley Rd, Martinsville, NJ 08836, 732-391-6828
Panatieri's Pizza & Pasta Italian Restaurant, 1910 Washington Valley Rd, Martinsville, NJ 08836, 732-507-9247
Pizza Brothers, 1982 Washington Valley Rd, Martinsville, NJ 08836, 732-507-9474
Tony Soprano's Pizza, 11 Jackson Rd, Medford, NJ 08055, 609-726-5167
Mario's Pizza Center, 246 Lincoln Blvd, Middlesex, NJ 08846, 732-812-5101
Jozanna's Casual Italian, 409 Lincoln Blvd, Middlesex, NJ 08846, 732-876-9283
Ferraro's Pizza, 275 Lincoln Blvd, Middlesex, NJ 08846, 732-537-8396
Dough Father, 7 Taylor Ave, Monroe Twp, NJ 08831, 732-945-8850
Villa Laura Restaurant, 365 Sp Englishtown Rd, Monroe Twp, NJ 08831, 732-532-3468
D & T Pizza Restaurant, 1600 Perrineville Rd, Monroe Twp, NJ 08831, 609-785-3708
Suvio's, 83 Washington St, Morristown, NJ 07960, 973-355-7153
Ventura's Offshore Cafe, 2015 Shore Rd, Northfield, NJ 08225, 609-616-4895
Cafe Patanaro, 24 New Jersey 34 C, Old Bridge, NJ 08857, 732-253-4303
Primos Pizzeria, 2909 Washington Road, Parlin, NJ 08859, 732-952-8585
Pizza Heaven, 777 Washington Rd, Parlin, NJ 08859, 732-355-3299
Dominick's Pizzeria, 475 S Washington Ave, Piscataway Township, NJ 08854, 732-752-1440
Luigi's Famous Pizza, 500 Washington Ave, Point Pleasant Beach, NJ 08742, 732-365-4019
New York Pizza, 19 Interstate Shopping Center, Ramsey, NJ 07446, 201-292-6181
Franks Gourmet Pizzeria, 162 Orlando Dr, Raritan, NJ 08869, 732-658-0010
Massimo's, 1035 Washington Blvd, Robbinsville, NJ 08691, 609-400-1091
Bravo Pizza & Pasta, 179 W Broadway, Salem, NJ 08079, 856-431-5905
Pat's Pizza & Bistro Salem, 188 E Broadway, Salem, NJ 08079, 856-666-0856
Enrico's Italian Cucina, 986 Main St, Salem, NJ 08079, 856-421-5560
Gigi's New York Style Pizza & Restaurant, 1142 Ocean Ave, Sea Bright, NJ 07760, 732-963-4490
Romano's Pizza, 218 W New York Ave, Somers Point, NJ 08244, 609-568-7738
Il Forno Brick Oven Pizza, 1260 New Jersey 28, Somerville, NJ 08876, 908-304-9232
Luigi's New York Style Pizza, 2239 South Clinton Ave, South Plainfield, NJ 07080, 908-325-5415
Tom's Pizza Pasta & Subs, 250 Mountain Ave, Springfield, NJ 07081, 973-287-3867
Tom's Pizza Pasta & Subs, 250 Mountain Ave, Springfield, NJ 07081, 973-287-3867
Cioffi's Deli & Pizza, 762 Mountain Ave, Springfield, NJ 07081, 973-755-1816
Cioffi's Deli & Pizza, 762 Mountain Ave, Springfield, NJ 07081, 973-755-1816
Prima Pizza, 719 Mountain Ave, Springfield, NJ 07081, 973-975-4436
Prima Pizza, 719 Mountain Ave, Springfield, NJ 07081, 973-975-4436
Joe's Ristorante & Pizzeria, 101 Springfield Ave, Summit, NJ 07901, 908-280-8892
Joe's Ristorante & Pizzeria, 101 Springfield Ave, Summit, NJ 07901, 908-280-8892
Italian Village Pizzeria, 789 Springfield Ave, Summit, NJ 07901, 908-988-0444
Italian Village Pizzeria, 789 Springfield Ave, Summit, NJ 07901, 908-988-0444
La Pastaria, 327 Springfield Ave, Summit, NJ 07901, 908-332-9552
La Pastaria, 327 Springfield Ave, Summit, NJ 07901, 908-332-9552
Doria's Pizza & Restaurant, 432 Springfield Ave, Summit, NJ 07901, 908-356-7910
Doria's Pizza & Restaurant, 432 Springfield Ave, Summit, NJ 07901, 908-356-7910
Capone's Gourmet Pizza & Pasta, 17 Washington St, Toms River, NJ 08753, 732-606-4803
Blue Flame, 601 New York Ave, Union City, NJ 07087, 201-720-4773
Hudson Grill Deli & Pizza, 100 Manhattan Ave, Union City, NJ 07087, 201-537-5681
Famous Ray's Pizza of New York, 10 Pompton Ave, Verona, NJ 07044, 973-846-5834
Dominick's Pizza, 1768 S Lincoln Ave, Vineland, NJ 08361, 856-369-3508
Cafe Agira, 125 Washington Valley Rd, Warren, NJ 07059, 732-532-3561
Leo's Pizza Italian Restaurant, 230 NJ-31, Washington, NJ 07882, 908-760-6431
Little Italy Brick Oven, 459 Route 31, Washington, NJ 07882, 908-443-9552
CIAO Pizzeria & Burger Co, 2297 NJ-57, Washington, NJ 07882, 908-386-4496
Sal's Pizza, 1 W Washington Ave, Washington, NJ 07882, 908-304-9473
Enzo Pizzeria & Pasta Grill, 328 W Washington Ave, Washington, NJ 7882, 908-332-8645
Ernie & Dom's Pizzeria, 433 NJ-31, Washington, NJ 07882, 908-484-9880
Sal's Pizzeria, 6127 Bergenline Ave, West New York, NJ 07093, 201-862-4662
New Pizza On The Block, 6415 Park Ave, West New York, NJ 07093, 201-267-2754
Original Presto's Pizza, 6001 Park Avenue, West New York, NJ 07093, 201-552-4194
Cella Luna Pizza, 201 60th St, West New York, NJ 07093, 201-904-3472
La Tinajita Pizzeria Cubana, 5517 Hudson Ave, West New York, NJ 07093, 201-817-5252
Luna Pizzeria, 5404 Park Avenue, West New York, NJ 07093, 201-864-0230
Santinis Bistro, 5114 Hudson Ave, West New York, NJ 07093, 201-809-9412
Burana Pizzeria, 6310 Park Ave #Lucia, West New York, NJ 07093, 201-430-2762
Mama Maria Pizzeria, 40 Washington St, West Orange, NJ 07052, 973-321-4267
Mr D's Pizzeria Steaks & Subs, 4611 New Jersey Ave, Wildwood, NJ 08260, 609-770-2034
Poppi's Brick Oven Pizza & Kitchen, 4709 New Jersey Ave, Wildwood, NJ 08260, 609-473-3613
Vincenzo's Pizza & Grill, 23 Charleston Rd, Willingboro, NJ 08046, 609-676-2026
Fox's Pizza Den, 9221 Coors Blvd, Albuquerque, NM 87114, 505-899-8444
Pizza 9, 5305 Gibson Blvd SE, Albuquerque, NM 87108, 505-404-0433
Aldo's New York Style Pizzeria, 1690 Rio Rancho Blvd, Albuquerque, NM 87124, 505-322-6229
Aldo's New York Style Pizzeria, 1690 Rio Rancho Blvd, Albuquerque, NM 87124, 505-322-6229
Gino's New York Style Pizza, 3908 San Mateo Blvd Ne, Albuquerque, NM 87110, 505-985-7269
Gino's New York Style Pizza, 3908 San Mateo Blvd Ne, Albuquerque, NM 87110, 505-985-7269
Amadeo's Pizza, 585 Osuna Rd NE, Albuquerque, NM 87113, 505-207-0869
Amadeo's Pizza, 809 98Th St SW, Albuquerque, NM 87121, 505-835-1441
Amadeo's Pizza, 3109 Coors Blvd Sw, Albuquerque, NM 87121, 505-903-5882
Pizzeria Luca, 8850 Holly Ave NE, Albuquerque, NM 87122, 505-207-3038
Buca Di Beppo, 6520 Americas Pkwy NE, Albuquerque, NM 87110, 505-872-2822
Aldo's New York Style Pizzeria, 313 Central Ave NW A, Albuquerque, NM 87102, 505-431-4941
Aldo's New York Style Pizzeria, 313 Central Ave NW A, Albuquerque, NM 87102, 505-431-4941
Roadrunner Pizza, 1426 Missouri Ave, Las Cruces, NM 88001, 575-639-9628
Valley Pizza, 3100 W Picacho Ave, Las Cruces, NM 88007, 575-222-7992
Luna Rossa Winery & Pizzeria, 1321 Avenida De Mesilla, Las Cruces, NM 88005, 575-222-2579
Pastaggio's Italian Restaurant, 3000 Harrelson St, Las Cruces, NM 88005, 575-222-2791
Lorenzo's Italian Restaurant, 1753 E University Ave, Las Cruces, NM 88001, 575-222-7647
Zeffiro Pizzeria Napoletana, 136 S Water St, Las Cruces, NM 88001, 575-222-7947
Pizza Palazzo, 5702 Bataan Memorial Ste C-1, Las Cruces, NM 88011, 575-339-1586
NYP Slice House Pizza, 3330 Rinconada Blvd, Las Cruces, NM 88011, 575-222-7917
Zeffiro New York Pizzeria, 901 E University Ave, Las Cruces, NM 88001, 575-222-2746
Zeffiro New York Pizzeria, 901 E University Ave, Las Cruces, NM 88001, 575-222-2746
Pizza 9, 6417 Airport Rd, Santa Fe, NM 87507, 505-919-7471
Rooftop Pizzeria, 60 E San Francisco St #301, Santa Fe, NM 87501, 505-557-1355
Back Road Pizza, 1807 2nd St #1, Santa Fe, NM 87505, 505-557-1240
Piccolino, 2890 Agua Fria St, Santa Fe, NM 87507, 505-557-1401
Upper Crust Pizza, 329 Old Santa Fe Trail, Santa Fe, NM 87501, 505-557-1382
Pizzeria da Lino, 204 N Guadalupe St, Santa Fe, NM 87501, 505-557-1151
Pizzeria Espiritu, 1722 St Michaels Dr A, Santa Fe, NM 87505, 505-557-1466
Pizza Centro, 418 Cerrillos Rd, Santa Fe, NM 87501, 505-557-1043
Andiamo, 322 Garfield St, Santa Fe, NM 87501, 505-557-1493
El Nido, 1577 Bishops Lodge Rd, Santa Fe, NM 87506, 505-557-1454
Chicago Mike's Pizza, 1544 US Hwy 395 N #1, Gardnerville, NV 89410, 775-465-4074
Manhattan Pizza III, 1045 Whitney Ranch Dr, Henderson, NV 89014, 702-847-7796
Angelina's Pizza, 5821 E Charleston Blvd, Las Vegas, NV 89142, 702-432-0727
Angelina's Pizza, 5821 E Charleston Blvd, Las Vegas, NV 89142, 702-432-0727
Rocco's NY Pizzeria & Pasta - Village Center, 1910 Village Center Cir, Las Vegas, NV 89134, 702-660-4449
Rocco's NY Pizzeria & Pasta - WINDMILL, 580 E Windmill Ln, Las Vegas, NV 89123, 702-623-8693
Grand Pizza, 6731 W Alexander Rd, Las Vegas, NV 89108, 702-997-9018
Angelina's Pizza, 6825 W Russell Rd, Las Vegas, NV 89118, 702-227-9500
North End Pizza, 6440 N Durango Dr, Las Vegas, NV 89149, 702-997-4255
Manhattan Pizza II, 4955 E Craig Rd, Las Vegas, NV 89115, 702-643-6664
Manhattan Pizza II, 4955 E Craig Rd, Las Vegas, NV 89115, 702-643-6664
Albo Pizza Restaurant, 1510 S Las Vegas Blvd, Las Vegas, NV 89104, 702-430-7534
Mark Rich's NY Pizza & Pasta, 11710 W Charleston Blvd, Las Vegas, NV 89135, 702-983-2850
Mark Rich's NY Pizza & Pasta, 11710 W Charleston Blvd, Las Vegas, NV 89135, 702-983-2850
New York Pizza & Pasta, 2400 S Jones Blvd, Las Vegas, NV 89146, 702-430-7033
New York Pizza & Pasta, 2400 S Jones Blvd, Las Vegas, NV 89146, 702-430-7033
Lino's Pizzeria & Italian Restaurant, 4210 W Craig Rd, North Las Vegas, NV 89032, 702-710-0537
DeLucias Pizzeria, 2345 E Centennial Pkwy, North Las Vegas, NV 89081, 702-819-6275
Happy's Pizza, 300 W Lake Mead Blvd, North Las Vegas, NV 89030, 702-956-8603
Above The Crust Pizza, 5585 Simmons St, North Las Vegas, NV 89031, 702-956-8153
Old School Pizzeria, 2040 E Craig Rd, North Las Vegas, NV 89030, 702-820-5241
Rocco's New York Pizza, 6885 N Aliante Pkwy, North Las Vegas, NV 89084, 702-675-9118
Rocco's New York Pizza, 6885 N Aliante Pkwy, North Las Vegas, NV 89084, 702-675-9118
Chicago's Pizza With A Twist, 2900 Clear Acres Ln, Reno, NV 89512, 775-824-5300
Chicago's Pizza With A Twist, 2900 Clear Acres Ln, Reno, NV 89512, 775-824-5300
Chicago's Pizza With A Twist, 1885 S Virginia St, Reno, NV 89502, 775-689-9898
Chicago's Pizza With A Twist, 1885 S Virginia St, Reno, NV 89502, 775-689-9898
Pizza Guys, 1610 Robb Dr, Reno, NV 89523, 775-204-4927
Pizza Reno, 26 W 2nd St, Reno, NV 89501, 775-238-4228
Pizza Baron, 1155 W 4th St, Reno, NV 89503, 775-200-0415
SouthCreek Pizza Co., 45 Foothill Rd, Reno, NV 89511, 775-413-2830
Noble Pie Parlor-Midtown, 777 S Center St #100, Reno, NV 89501, 775-413-2943
J J's Pie Co., 555 W 5th St, Reno, NV 89503, 775-413-2722
Taste Of Chicago, 180 E 1st St, Reno, NV 89501, 775-413-2920
Taste Of Chicago, 180 E 1st St, Reno, NV 89501, 775-413-2920
Noble Pie Parlor, 239 W 2nd St, Reno, NV 89501, 775-204-6728
Tuscan Oven, 100 Broadway, Albany, NY 12204, 518-557-8841
Pizzeria Sapienza, 51 S Pearl St, Albany, NY 12207, 518-730-4841
WV Pizza, Swan Street Building, Albany, NY 12210, 518-941-8830
PizzaRoni, 420 Madison Ave, Albany, NY 12210, 518-797-1001
PizzaRoni, 420 Madison Ave, Albany, NY 12210, 518-797-1001
Cusatos, 605 A New Scotland, Albany, NY 12208, 518-768-6308
New Yorker Pizzeria & Pasta, 328 Central Ave, Albany, NY 12206, 518-708-6495
New Yorker Pizzeria & Pasta, 328 Central Ave, Albany, NY 12206, 518-708-6495
Milano Pizza, 1800 Western Ave, Albany, NY 12203, 518-363-6864
DC's Pizza & Catering, 1182 Western Ave, Albany, NY 12203, 518-362-8060
Cafe Lark, 452 Madison Ave, Albany, NY 12208, 518-490-4932
Cafe Lark, 452 Madison Ave, Albany, NY 12208, 518-490-4932
Pizza Express, 1178 Western Ave, Albany, NY 12203, 518-730-4429
Leonardi's Pizzeria, 614 Grover Cleveland Hwy, Amherst, NY 14226, 716-616-3898
Manhattan Express Pizza, 4908 State Hwy 30, Amsterdam, NY 12010, 518-212-3065
Fresh Basil, 2 Washington St, Amsterdam, NY 12010, 518-620-5048
New York City Pizza, 4879 St Hwy 30, Amsterdam, NY 12010, 518-212-2882
New York City Pizza, 4879 St Hwy 30, Amsterdam, NY 12010, 518-212-2882
Tredo's Pizzeria, 8746 Erie Rd, Angola, NY 14006, 716-321-2675
Maria Pizzeria & Restaurant, 9120 Erie Rd, Angola, NY 14006, 716-217-6884
Mr. Pizza, 69 Wall St, Auburn, NY 13021, 315-975-4074
Curley's, 96 State St, Auburn, NY 13021, 315-975-4125
Nino's Pizzeria II, 173 South St, Auburn, NY 13021, 315-975-4068
Papa Paulie's Pizza, 153 State St, Auburn, NY 13021, 315-975-4081
Giuseppe's Pizzeria, 75 Owasco St, Auburn, NY 13021, 315-975-4028
Gusto Italiano, 105 Genesee St, Auburn, NY 13021, 315-975-4126
Gaetano's Pizzeria, 250 Genesee St, Auburn, NY 13021, 315-975-4049
Livingston County Pizza Company, 212 Rochester St, Avon, NY 14414, 585-367-4557
Twin Trees, 111 Syracuse St, Baldwinsville, NY 13027, 315-888-4355
Rico's Pizza New York Style, 371 W Morris St, Bath, NY 14810, 607-228-2013
New York Pizzeria, 33 W State St, Binghamton, NY 13901, 607-258-6747
Pita & Pizza - Washington Ave, 345 Washington Ave, Brentwood, NY 11717, 631-305-4181
New York Pizza & Restaurant, 1946 US-6, Carmel, NY 10512, 845-669-6494
Owahgena Pizzeria, 118 Albany St, Cazenovia, NY 13035, 315-655-9900
BG Buda's, 88 Albany St, Cazenovia, NY 13035, 315-675-5289
Caz Pizzeria, 62 Albany St, Cazenovia, NY 13035, 315-888-4605
Lunetta's Restaurant, 878 Cleveland Dr, Cheektowaga, NY 14225, 716-261-3842
Gandy's, 1203 Cleveland Dr, Cheektowaga, NY 14225, 716-221-3955
New York Pizzeria, 75 Chestnut St, Cooperstown, NY 13326, 607-264-0479
Rico's Pizza New York Style, 92 W Market St, Corning, NY 14830, 607-224-8971
Chefs of New York, 508 Larkfield Rd, East Northport, NY 11731, 631-904-7755
Pavone's Pizza, 5781 Bridge St, East Syracuse, NY 13057, 315-883-2176
Twin Trees, 102 W Manlius St, East Syracuse, NY 13057, 315-888-4451
Kostas Pizza House, 225 E Manlius St, East Syracuse, NY 13057, 315-888-4489
Trapper's, 5950 Butternut Dr, East Syracuse, NY 13057, 315-888-4631
The Original Italian Pizza, 25 Washington Ave, Endicott, NY 13760, 607-258-6765
Jason's New York Pizzeria, 6081 NY-96, Farmington, NY 14425, 585-366-8598
Red Baron Pizza, 110 Rochester St, Fulton, NY 13069, 315-883-2889
